files,language,blank,comment,code
1219,Java,20497,78890,123796
50,C,5195,5591,31551
41,JavaScript,4511,5725,28563
40,Bourne Shell,1783,3558,14917
182,XML,2564,8136,11704
80,Groovy,1440,3657,9714
116,Python,1141,3535,6330
69,HTML,1662,230,5440
41,Perl,713,2759,4280
12,CSS,908,709,3406
35,C/C++ Header,430,2474,2509
3,Web Services Description,421,191,2427
9,JSON,0,0,1576
12,make,220,672,678
3,m4,57,1,503
21,Ant,262,1032,444
5,SVG,0,0,330
1,XSLT,23,69,279
2,Bourne Again Shell,51,160,187
4,INI,21,0,101
1,XSD,22,50,67
1,Markdown,25,0,63
2,diff,32,86,41
5,CSV,2,0,17
1954,SUM,41980,117525,248923
