files,language,blank,comment,code
2237,Java,41861,139440,258563
79,C,10907,29235,56299
278,Groovy,6125,9496,43461
254,XML,2206,5904,19502
47,Bourne Shell,1863,3918,15502
147,Python,1146,4582,6301
62,C/C++ Header,1602,7287,4578
44,Perl,800,2995,4545
4,Web Services Description,503,297,2957
1,CSS,196,49,941
14,make,283,812,889
46,Ant,433,1548,676
3,m4,59,1,550
1,XSLT,25,70,323
3,Bourne Again Shell,81,144,305
5,HTML,52,142,165
4,JSON,0,0,106
5,INI,0,0,78
1,YAML,1,0,70
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3243,SUM,68198,206056,415936
