files,language,blank,comment,code
1221,Java,20651,79200,124491
58,C,5957,6544,36497
41,JavaScript,4513,5725,28615
41,Bourne Shell,1811,3568,15021
202,XML,2743,8424,12242
80,Groovy,1440,3657,9714
116,Python,1142,3536,6347
69,HTML,1662,230,5441
45,Perl,797,3064,4858
12,CSS,909,709,3410
42,C/C++ Header,502,2694,2628
3,Web Services Description,421,191,2427
9,JSON,0,0,1576
12,make,221,671,686
3,m4,57,1,503
21,Ant,262,1032,444
5,SVG,0,0,330
1,XSLT,23,69,279
2,Bourne Again Shell,51,160,187
4,INI,21,0,103
1,XSD,22,50,67
1,Markdown,23,0,59
2,diff,32,86,41
5,CSV,2,0,17
1996,SUM,43262,119611,255983
