files,language,blank,comment,code
1487,Java,26799,88290,166594
241,JavaScript,8525,15107,51559
62,C,7687,21360,41071
129,Groovy,2440,5388,18432
246,XML,2921,8657,15786
48,Bourne Shell,1879,3837,15532
167,HTML,2592,413,10662
150,Python,1844,4902,10262
16,CSS,1198,774,5484
46,Perl,854,3144,5098
47,C/C++ Header,1143,5851,3266
4,Web Services Description,464,328,2660
17,JSON,0,0,2247
13,make,255,768,810
3,m4,59,1,535
29,Ant,319,1189,521
5,SVG,0,0,330
1,XSLT,23,69,280
2,Bourne Again Shell,51,160,188
6,INI,21,0,156
2,Markdown,42,0,101
1,YAML,1,0,70
1,XSD,22,50,67
2,diff,32,86,41
5,CSV,2,0,17
2730,SUM,59173,160374,351769
