files,language,blank,comment,code
2415,Java,44371,145412,276367
87,C,11992,37506,69352
308,Groovy,6779,9826,49244
248,XML,2189,5639,22508
47,Bourne Shell,1517,3836,12256
69,C/C++ Header,1921,9038,5393
44,Perl,801,2983,4531
58,Python,828,1792,4314
4,Web Services Description,525,298,3110
14,JSON,0,0,2578
17,make,307,952,986
1,CSS,196,49,941
44,Ant,401,1448,606
3,m4,59,1,535
1,XSLT,27,106,341
5,Bourne Again Shell,75,157,310
5,HTML,52,142,165
6,INI,2,0,90
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
1,YAML,0,0,16
3385,SUM,72097,219321,453768
