files,language,blank,comment,code
2326,Java,42361,139893,261549
97,C,12461,38240,64683
289,Groovy,6529,9507,46283
254,XML,2194,5774,21782
49,Bourne Shell,1882,4002,15556
171,Python,1394,5043,7369
76,C/C++ Header,2011,9619,5215
44,Perl,804,2997,4557
4,Web Services Description,503,297,2963
14,JSON,0,0,2578
17,make,317,960,977
1,CSS,196,49,941
45,Ant,421,1498,672
3,m4,59,1,550
6,Bourne Again Shell,95,183,398
1,XSLT,25,70,323
5,HTML,52,142,165
6,INI,2,0,90
2,YAML,1,0,86
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3418,SUM,71362,218411,436862
