files,language,blank,comment,code
2326,Java,42292,139861,261180
85,C,10380,30662,54301
289,Groovy,6524,9504,46269
254,XML,2194,5774,21781
49,Bourne Shell,1882,4002,15556
167,Python,1334,4912,7058
70,C/C++ Header,1838,8797,4809
44,Perl,804,2997,4557
4,Web Services Description,503,297,2961
17,make,317,960,977
1,CSS,196,49,941
45,Ant,421,1498,672
9,JSON,0,0,668
3,m4,59,1,550
5,Bourne Again Shell,88,153,359
1,XSLT,25,70,323
5,HTML,52,142,165
6,INI,2,0,90
2,YAML,1,0,86
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3390,SUM,68967,209815,423428
