files,language,blank,comment,code
2328,Java,42430,140031,262202
97,C,12466,38244,64790
290,Groovy,6537,9529,46324
254,XML,2194,5774,21782
49,Bourne Shell,1882,4002,15557
171,Python,1406,5064,7433
76,C/C++ Header,2011,9619,5222
44,Perl,804,2997,4557
4,Web Services Description,503,298,2964
14,JSON,0,0,2578
17,make,317,960,977
1,CSS,196,49,941
45,Ant,421,1498,672
3,m4,59,1,550
6,Bourne Again Shell,95,183,398
1,XSLT,25,70,323
5,HTML,52,142,165
6,INI,2,0,90
2,YAML,1,0,86
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3421,SUM,71456,218597,437736
