files,language,blank,comment,code
1828,Java,33222,96784,211726
77,C,9920,26887,52819
256,Groovy,5753,9365,39668
234,XML,2011,5492,15381
47,Bourne Shell,1508,3873,12258
144,Python,1130,4489,6176
44,Perl,779,2975,4422
60,C/C++ Header,1538,7266,4262
4,Web Services Description,506,328,2919
1,CSS,196,49,941
14,make,277,812,868
41,Ant,404,1474,636
3,m4,59,1,540
3,Bourne Again Shell,80,144,301
1,XSLT,23,69,301
5,HTML,52,142,165
4,JSON,0,0,101
5,INI,0,0,78
1,YAML,1,0,70
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
2780,SUM,57514,160286,353757
