files,language,blank,comment,code
1822,Java,33099,96395,210843
62,C,8696,23386,47235
255,Groovy,5671,9352,39327
47,Bourne Shell,1857,3916,15488
231,XML,1975,5447,15286
136,Python,967,4027,4790
44,Perl,779,2975,4422
53,C/C++ Header,1385,6618,4000
4,Web Services Description,506,328,2919
1,CSS,196,49,941
12,make,242,767,776
41,Ant,404,1474,636
3,m4,59,1,540
1,XSLT,23,69,288
5,HTML,52,142,165
4,JSON,0,0,98
5,INI,0,0,78
1,YAML,1,0,70
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
2735,SUM,55967,155082,348027
