files,language,blank,comment,code
235,Java,4076,6750,21281
9,Bourne Shell,1400,1045,9866
29,C,1798,598,8914
66,XML,346,1653,3113
15,Groovy,442,114,1766
3,Web Services Description,188,37,1139
18,C/C++ Header,147,57,575
6,Perl,60,53,452
13,Ant,28,452,384
10,make,131,64,332
3,Bourne Again Shell,18,25,237
1,m4,20,1,163
1,CSS,17,0,114
1,XSD,12,33,99
3,Properties,29,215,35
2,Drools,4,0,21
2,HTML,3,67,19
2,diff,8,20,11
419,SUM,8727,11184,48521
