files,language,blank,comment,code
1484,Java,26729,87976,165514
202,JavaScript,7913,14314,46671
62,C,7628,20831,40936
128,Groovy,2436,5382,18413
244,XML,2909,8620,15747
48,Bourne Shell,1879,3837,15532
150,Python,1751,4877,9688
134,HTML,2075,360,8632
16,CSS,1147,771,5285
46,Perl,854,3144,5098
47,C/C++ Header,1142,5845,3267
4,Web Services Description,473,272,2706
17,JSON,0,0,2247
13,make,255,768,806
3,m4,59,1,535
29,Ant,319,1189,521
5,SVG,0,0,330
1,XSLT,23,69,280
2,Bourne Again Shell,51,160,188
6,INI,20,0,155
2,Markdown,42,0,101
1,YAML,1,0,70
1,XSD,22,50,67
2,diff,32,86,41
5,CSV,2,0,17
2652,SUM,57762,158552,342847
