files,language,blank,comment,code
1219,Java,20645,79077,124519
58,C,5951,6593,36364
41,JavaScript,4512,5727,28649
41,Bourne Shell,1811,3568,15021
200,XML,2729,8406,12126
80,Groovy,1444,3668,9774
116,Python,1142,3540,6360
69,HTML,1662,230,5441
45,Perl,797,3065,4863
12,CSS,909,709,3410
42,C/C++ Header,502,2694,2636
3,Web Services Description,421,191,2427
9,JSON,0,0,1576
12,make,226,708,728
3,m4,57,1,503
21,Ant,262,1032,444
5,SVG,0,0,330
1,XSLT,23,69,279
2,Bourne Again Shell,51,160,187
4,INI,21,0,103
1,XSD,22,50,67
1,Markdown,23,0,59
2,diff,32,86,41
5,CSV,2,0,17
1992,SUM,43244,119574,255924
